sq_feet,num_bedrooms,num_bathrooms,sale_price
3762,3,1,686102
3442,3,1,594695
3367,3,3,616662
803,1,1,145730
2395,3,1,435062
3356,3,1,617698
3836,4,2,727834
1930,3,1,364184
2180,3,1,386742
505,1,1,99143
3901,3,3,706228
3047,3,3,556302
2239,3,3,423096
1385,3,1,267567
3291,3,3,565596
2678,3,2,490388
845,2,1,177120
1564,2,2,302988
3270,4,2,595370
2949,3,1,518843
1424,3,3,310344
2936,4,1,544771
3883,3,2,684782
3517,3,3,629484
3786,3,2,648307
2046,4,2,416948
518,2,2,136224
1630,2,2,312804
532,1,1,113139
1595,2,1,303421
1602,3,1,305815
3478,3,2,627156
3421,3,3,596335
2281,4,3,450912
1301,3,3,282993
887,2,1,179086
2895,4,3,543664
3920,4,1,709458
1007,4,2,248554
1332,4,2,284174
3665,3,1,660164
3833,3,3,644649
1841,2,2,342021
2964,3,3,560103
2914,4,3,578408
2633,3,2,483880
1543,4,2,331920
1378,2,1,271892
3951,3,1,708871
3182,3,2,578913
819,1,1,156681
926,2,1,183562
2099,3,1,394537
2395,3,3,439646
1865,3,2,360154
1077,3,2,225809
3262,4,3,581488
1634,2,2,310384
910,2,2,197252
1442,2,1,285534
3395,3,3,612464
1335,3,2,280214
1602,2,1,295177
902,2,2,194090
2688,3,1,496451
2633,3,2,482023
1847,3,3,355475
2648,3,3,493739
1341,2,2,266496
973,2,1,204463
2198,3,3,428611
597,2,2,140258
2401,4,3,458979
3232,3,2,558890
1642,2,2,299208
3341,3,3,583871
3805,4,3,681597
1903,4,1,388751
3092,3,2,550695
1334,2,2,269652
2489,3,3,446061
1865,2,2,349931
1097,1,1,200031
870,2,1,186240
2137,3,2,414121
1748,2,2,318894
3869,3,1,650244
3837,3,3,668283
2869,3,1,517668
1450,3,1,277505
587,1,1,115697
1134,3,2,253814
3536,4,2,655830
830,2,2,176260
2411,3,1,442746
3245,3,2,568267
2687,3,1,470779
2434,3,2,473881
3351,3,2,566033
2527,4,1,473207
929,2,2,188227
2710,3,1,511494
3925,4,3,720616
1834,4,3,384636
1364,2,1,265159
3327,3,1,575972
1296,2,2,242286
646,2,1,142910
646,2,1,143755
2193,3,1,394853
3552,4,3,676591
3433,3,1,584007
1702,2,2,315926
2075,4,3,416853
1948,4,3,405440
3524,3,2,599142
1728,2,1,313816
1231,2,2,242628
1125,2,1,223282
3010,4,1,564320
2156,3,1,411865
1730,4,1,356442
2726,3,3,520371
758,1,1,141509
807,2,2,174871
3427,3,2,592841
678,2,2,147490
2141,3,2,403795
3640,3,2,635383
2564,3,3,473233
1307,4,2,280788
2503,3,2,453395
2659,4,1,514563
3127,3,2,545853
2283,3,2,412156
3708,3,2,624955
1878,4,2,378594
2119,3,2,407501
1531,4,2,336220
3734,4,2,675634
1891,2,1,333923
3992,4,1,695078
2642,3,3,495628
3307,3,2,601187
2027,3,3,384318
2850,4,1,516231
3261,4,2,605625
1338,2,2,265784
2875,3,2,523813
1120,4,2,268322
2678,3,2,499276
2673,4,3,523077
2662,3,3,502185
2431,3,3,471227
3139,4,2,577878
2686,3,3,514221
3323,4,2,608958
2622,3,3,488769
1471,3,1,299207
3954,3,2,667927
916,2,2,196380
794,2,1,167553
3221,3,1,580955
948,2,2,197290
733,2,2,173903
536,2,2,132638
1575,4,3,340007
1499,2,2,277603
3863,4,3,707478
3073,3,3,545507
1837,2,2,342209
2691,3,3,486756
2848,3,3,496173
2734,4,2,543078
1155,2,2,227174
3644,4,2,663148
3199,3,2,548167
649,2,1,149785
2633,3,2,497783
3824,4,1,682415
3887,4,2,701317
765,2,2,168557
1827,2,1,331439
3232,4,2,581726
1041,4,3,249042
1957,4,1,395402
2452,3,1,441012
2065,4,1,408511
900,2,2,194208
991,2,2,210956
3838,4,3,676010
1177,2,1,222348
3423,4,2,655552
3501,3,2,628004
2766,3,2,508859
2228,3,2,403700
1658,2,2,297424
2179,3,3,428108
2820,3,2,524532
3286,3,3,617582
500,2,1,122583
1936,3,2,382888
3858,4,1,661228
3495,4,1,602661
3845,3,3,658896
2091,3,2,397687
2700,3,1,496636
2650,4,1,508073
3226,3,2,553503
2131,3,2,404886
1464,3,2,308444
831,2,2,179322
1496,3,3,314998
1621,2,2,305970
1677,3,1,332069
1670,3,3,353678
1586,2,1,292466
2079,4,2,409200
843,2,2,186271
3965,3,3,677028
503,2,2,121752
742,2,2,173758
2735,4,3,510510
3149,3,3,572202
1942,2,2,371014
2497,4,2,472019
587,2,1,137353
1510,2,1,291351
3586,3,3,629072
1776,2,1,331502
1816,2,2,332990
988,1,1,172341
3885,3,3,659916
2299,4,3,460677
3245,4,3,610383
1526,4,3,332757
3190,3,1,584787
3723,3,2,637753
1745,3,1,354429
2758,3,3,518055
3674,3,1,624191
2709,3,2,504511
1754,2,2,339294
1756,2,2,327628
3201,4,1,603043
3328,3,2,606069
3225,4,3,592869
3164,3,1,575347
895,2,1,187223
1141,1,1,205196
3563,3,1,599635
3098,3,2,531995
2166,3,1,422892
3055,4,3,553031
2222,4,2,435674
3748,3,1,634525
1913,2,1,346552
3714,3,2,634374
3697,3,2,625221
1542,4,3,341310
660,2,2,146280
1499,2,1,276018
3953,4,3,715438
1106,1,1,195403
2184,3,1,412400
1537,3,1,312495
2939,3,3,538286
2654,3,3,513985
2389,3,1,450311
1611,3,3,319617
1235,4,2,274056
563,2,2,144027
2344,4,2,465990
3933,4,2,686182
1625,4,2,358079
3460,3,3,627227
1693,2,1,318022
1806,3,3,342666
1292,4,1,282458
2413,3,3,437257
551,2,1,135347
3040,3,1,555559
899,2,2,199601
2473,3,2,455715
857,2,2,191628
3375,4,2,633672
1800,2,1,327322
3078,3,2,534243
3815,3,2,692509
2618,3,3,499754
3756,4,2,699098
3920,3,3,694169
1129,3,2,255658
928,2,2,185182
1262,3,3,269576
2075,4,2,409217
1775,2,2,330317
3631,3,1,634277
1452,3,3,308925
3636,4,3,649882
3347,3,3,584264
2656,4,2,503346
1164,1,1,203694
3380,3,3,622268
1187,3,1,249676
2461,4,1,462881
2669,4,1,496244
1883,2,2,341388
777,2,2,171608
3930,3,2,672987
3288,4,1,617228
3852,4,3,671938
1869,2,2,337212
1465,2,2,287258
2215,3,1,418745
1818,2,2,324182
869,2,1,180451
2888,4,2,527768
2036,3,3,377576
2458,3,2,453033
3453,3,3,621333
923,2,2,189434
3895,3,2,657063
2545,3,2,470653
1039,3,1,233737
807,1,1,144971
3529,4,3,676373
1256,4,3,308565
3334,3,2,611957
795,2,1,167139
3866,3,2,655471
1682,3,2,343524
1014,1,1,189457
1453,4,1,330936
1442,2,2,275674
3924,4,1,699097
1875,2,1,348132
3107,4,3,579503
1666,4,3,370809
3114,3,2,557129
3429,3,1,608496
2285,3,3,427294
1405,3,1,293835
2196,3,1,397604
2657,3,1,488953
1165,1,1,206687
3782,4,3,684959
2534,3,2,456615
2673,3,3,492750
2231,4,2,456331
1861,2,2,349347
2305,3,2,437777
3975,4,2,684475
3681,3,1,665686
731,1,1,140796
1151,1,1,211839
936,2,1,187399
1815,2,2,347620
1381,4,2,305129
3608,4,2,661622
3569,3,2,626730
3529,4,1,671373
3434,3,3,597902
3845,3,2,682498
729,2,1,157605
980,2,1,204487
2790,3,3,502974
880,1,1,164785
1596,4,1,352700
2017,3,3,388521
3693,3,2,648794
887,2,2,189077
2350,3,3,459188
3924,3,1,699986
3296,3,1,604183
2631,3,1,485373
3304,3,2,608414
3067,3,1,549807
2965,3,1,554127
1957,2,2,346719
2283,3,1,434344
2912,3,3,551076
1548,2,1,279635
1053,1,1,195232
3931,3,3,698728
3972,3,1,699803
3204,3,1,565802
1442,4,2,326930
1186,3,3,249270
916,2,2,199234
3435,3,3,602121
1123,4,3,284529
2481,4,1,484785
1431,2,2,275635
3534,3,2,629511
2733,4,1,520032
1089,2,2,225177
2829,3,3,499641
1793,3,3,357414
3364,3,3,593349
949,2,1,193490
2274,3,1,437339
3019,3,3,544603
1374,2,1,267526
1696,2,1,307030
2153,3,1,394743
652,2,1,148891
731,1,1,139319
2368,3,1,424266
3511,4,3,661650
3232,3,2,565950
2649,3,2,490965
2882,3,1,507259
645,2,2,149500
3198,3,3,570729
2817,4,1,548200
2041,3,3,400477
1833,2,1,323352
2004,3,1,376445
1302,4,3,298232
2094,3,3,412032
1175,1,1,213633
3412,4,3,627227
2825,3,3,511143
593,2,2,134836
2019,3,1,399538
2570,3,1,458071
2753,4,3,547732
2025,3,3,393378
3354,3,3,593679
1948,4,2,375474
3502,3,2,615874
870,2,2,181480
637,2,2,155216
2658,3,2,507724
3013,4,3,540378
1735,3,2,337845
3104,3,1,556041
3437,3,1,622655
1460,3,1,299541
1301,2,2,255341
2885,4,2,534030
3127,3,2,550791
1493,2,1,272309
667,2,1,146725
1949,2,2,358376
3903,3,1,658628
3461,3,1,609632
1040,3,3,246973
3007,4,3,563496
1212,2,2,234448
1551,2,2,302661
2230,3,3,420200
3207,3,3,595101
3665,4,2,683607
835,2,1,180299
3210,3,3,595623
3864,4,1,674039
3543,3,1,627177
854,2,2,178790
1655,4,3,346453
2514,4,3,505704
2952,3,3,552675
2710,3,3,515180
2676,4,2,514364
2544,3,1,460734
1710,3,3,352902
3533,4,2,669363
2686,3,3,479567
823,2,2,172469
2023,3,1,396787
1498,3,2,297403
1107,4,1,266214
2477,3,1,463316
3683,3,3,668972
2837,4,3,513160
1669,3,1,332888
2739,3,2,516941
3591,4,3,649950
3031,3,3,558644
3912,3,3,704616
1508,2,2,273190
1381,3,3,288935
542,2,2,130234
691,2,1,154038
1604,3,1,303002
3395,3,1,569831
1688,3,2,327687
1765,3,2,340481
3890,4,2,679452
573,2,2,138471
2515,3,2,472655
1713,2,2,302844
671,2,1,151236
3165,3,2,584505
3825,3,1,689429
3820,4,2,716278
1020,1,1,179439
1735,2,2,316575
2061,3,3,383424
3317,3,2,604392
2114,3,2,391895
3224,3,2,579096
3417,3,2,616005
3013,3,1,543524
1566,3,2,316502
3822,4,2,698108
3865,3,2,692775
2657,3,1,475813
827,2,2,171879
2239,3,3,430981
3102,4,2,560650
629,1,1,121706
1099,4,1,264616
2526,3,1,449834
3034,3,3,547636
698,2,1,158134
3369,4,2,636558
1920,4,2,389726
3928,4,1,725035
3297,3,3,580803
2283,3,2,406910
3774,4,3,690437
3509,3,2,640527
3591,3,2,624705
3574,3,3,614054
1955,2,2,356195
1307,2,2,262105
1396,2,1,272572
1180,1,1,206615
1618,2,2,310066
3956,3,2,700657
2735,3,1,482264
3476,3,3,606089
1835,2,2,327638
2012,3,3,388417
3968,4,1,733279
2473,4,2,459560
970,2,2,198374
3514,3,1,628958
2116,3,3,410148
2962,3,3,535153
2275,3,2,427963
921,2,2,202765
1046,3,3,241156
2156,3,1,406540
1804,4,1,379623
1082,4,1,255670
3568,4,1,668929
2171,4,3,419755
1920,4,2,376346
2715,4,2,491454
3657,3,2,632553
2736,3,3,517827
1197,2,1,232793
1208,4,3,294538
3004,3,3,538773
2002,3,2,381505
1379,2,2,259925
3592,3,2,654378
1228,2,1,234784
3217,3,1,580040
957,2,2,200508
3806,3,1,656257
2522,3,1,455643
2107,4,1,398355
1975,2,2,361142
758,2,2,171780
1176,2,2,231654
3137,4,3,562677
3305,4,2,637356
2516,3,3,468985
3245,4,1,600095
812,2,2,182916
1548,3,3,319560
3049,3,2,533658
3364,3,2,603523
2325,3,3,429198
1635,4,2,330921
2226,3,2,419263
1700,2,1,312640
3677,3,1,611798
706,2,2,162284
743,1,1,143382
1939,4,3,394916
717,2,2,161873
3385,3,3,610978
2335,3,3,459334
3167,3,3,544044
2602,3,3,465956
2130,4,3,426545
1055,3,2,223731
2972,4,1,533452
711,1,1,131514
689,1,1,139106
1478,3,1,283471
3400,3,2,613890
3661,3,2,662889
3983,3,2,711815
1186,2,2,244688
856,2,2,184152
3250,3,2,594451
2696,3,2,493720
3059,3,3,554751
1050,3,1,236306
3196,3,2,580654
1833,2,1,327858
1932,2,1,362785
2001,3,1,397140
3157,3,2,546742
2135,4,3,447141
1151,4,2,281433
1836,4,2,380944
979,2,2,206119
1656,2,2,302860
2201,4,1,425978
1941,3,1,370969
3666,3,1,651254
3590,3,2,629847
2069,3,1,399053
2768,3,1,489129
1538,2,2,280950
3497,3,2,635438
3397,3,3,583024
3442,3,3,614336
3394,3,3,617835
2754,3,2,513420
2512,3,2,453694
1286,2,2,254780
2678,4,1,522887
1017,2,2,202597
3757,3,3,655761
514,2,2,132582
814,1,1,150557
744,1,1,140314
1090,2,2,214860
1664,2,2,304264
1654,2,2,307444
1863,3,2,353945
3470,3,2,593682
2419,3,2,451332
2824,3,2,521793
2983,3,2,543111
1531,2,2,280389
2907,4,1,532376
3436,3,3,630781
1681,2,2,315839
2915,3,3,533481
2799,3,2,510463
2795,4,3,540572
3144,3,3,575100
1174,4,3,265827
1847,2,2,344152
3693,3,1,642385
1391,2,2,279897
759,2,1,166993
3751,3,1,646951
1525,2,2,288177
3685,4,2,653013
2730,3,3,509235
3658,3,2,659558
2081,3,1,401801
843,2,2,181150
3983,4,2,700022
3256,3,1,589761
1684,2,2,313810
1768,4,2,381600
693,2,1,150052
3114,3,2,531997
2529,3,3,472074
3069,3,3,566862
873,1,1,157494
3154,3,1,550124
1669,3,1,311621
3454,3,3,594568
2276,3,2,426853
1264,3,2,268818
675,1,1,129364
2592,3,3,473535
2902,3,3,531162
2914,4,3,581568
3172,3,1,574001
2300,3,1,437154
3344,3,1,584251
1888,2,1,333122
2515,3,2,456604
1230,2,2,236756
2284,3,3,431516
3880,4,3,702014
3854,3,2,645818
2795,3,2,505267
2532,3,1,469955
782,1,1,149462
1617,4,1,340025
1465,2,2,275968
3157,3,2,562556
2088,4,1,406565
2608,3,2,493299
2179,3,1,401634
3462,3,2,614624
3090,3,2,569013
2880,4,1,551933
2880,3,1,503048
2351,3,3,448422
3690,4,3,705580
2158,3,2,409070
3711,3,3,669717
3615,3,1,626475
3876,3,2,668424
3516,3,2,639373
2077,4,3,419287
1824,2,1,320858
3667,4,2,665643
705,2,2,165005
1127,3,3,246663
686,2,2,151070
1108,4,3,265199
2558,4,3,522105
1422,3,3,301143
2810,3,2,488174
3756,4,1,660866
1871,2,1,347453
1477,2,2,284434
3024,3,1,534952
1853,2,1,343579
2153,4,1,443179
2386,3,2,429417
3532,4,3,624745
1448,2,2,276804
2402,3,3,470258
2639,3,2,484712
3784,3,3,678440
1728,2,2,333062
2923,3,1,531620
2714,3,3,487269
630,1,1,128794
3315,3,1,581511
1887,2,2,354723
1705,2,1,303240
1873,2,2,357334
2444,3,1,451450
2820,3,3,517803
1022,1,1,188786
1846,3,3,365274
1474,4,2,337516
3961,3,2,669034
819,2,2,179114
3577,3,2,622540
3140,4,2,558448
700,2,2,156780
2891,4,1,526013
2877,4,3,530645
3349,3,1,599674
1898,3,2,371199
1961,4,2,397914
3420,3,1,584417
1758,4,1,357905
705,1,1,135094
2464,3,3,477522
1058,2,2,218822
3447,4,1,640668
1200,1,1,219615
1461,2,2,291500
1847,2,1,330977
539,2,2,133510
3731,4,1,654627
2170,3,3,433757
762,2,1,155911
1977,2,1,343989
1740,3,1,339568
1280,3,2,257000
877,2,2,189355
970,2,1,203934
1710,2,1,306213
2902,3,2,550374
549,2,2,130139
743,2,1,161253
2126,3,3,399569
1337,4,2,303279
1412,3,2,295231
2481,3,2,459451
3244,3,2,578517
2652,3,3,502266
3681,3,2,649710
3540,3,1,608619
2158,3,1,409373
779,2,1,159481
2583,4,3,479784
3880,3,3,688794
1510,3,1,297922
2893,4,2,543357
2985,3,1,545908
1005,2,2,210792
1769,2,1,315219
933,2,1,200312
1554,2,1,295493
3420,3,3,611379
3225,4,2,610243
844,2,2,189768
1307,2,2,253193
1802,3,3,356337
3259,4,3,614830
1357,3,2,285633
634,2,1,146026
2936,3,1,534355
2333,3,3,427869
3565,3,2,620705
1904,4,3,414600
2485,3,3,458303
647,2,1,145729
2357,4,1,431708
2114,3,2,391221
1319,3,3,283799
2563,3,2,488084
1721,4,1,337462
2120,3,2,406346
557,2,2,135849
2413,3,3,452914
3221,3,3,571723
3227,4,2,577392
3291,4,2,628282
1196,3,2,261105
2127,3,1,412688
1004,1,1,182791
817,2,1,173336
3047,4,2,569798
3370,4,3,620037
553,2,2,136774
1582,3,3,324233
2929,3,1,514519
894,1,1,167741
3014,3,1,544114
3852,3,3,700701
2737,3,1,505043
938,2,2,190744
3526,3,1,624718
777,1,1,146020
3650,3,2,653179
886,1,1,155942
3919,3,2,712665
3893,3,2,697221
1809,3,1,366396
3770,3,2,678145
3769,4,1,660165
2736,3,2,489364
3183,4,1,571148
2078,4,1,417166
1997,3,3,403065
2870,3,3,515704
2067,3,2,379471
3405,3,3,630894
3926,3,1,653357
3758,4,2,653546
2083,4,1,402015
617,2,2,149908
2098,3,2,394896
1233,2,1,235649
1661,4,2,369828
2615,3,2,478548
3376,4,2,634272
3698,3,3,674860
1427,3,1,288460
3943,3,2,677640
1220,3,3,266995
2869,3,2,511937
2623,3,1,500001
2694,4,1,489740
1106,1,1,204524
2959,4,1,530474
3614,3,3,635253
3643,4,2,677741
2484,3,3,473142
3135,3,2,562785
2987,3,3,556824
2961,3,1,505236
2970,3,1,529483
1404,2,2,273052
3732,3,3,666204
1392,2,2,269164
3175,3,3,557712
1621,2,1,286703
3057,3,2,559890
3961,3,2,664632
878,2,1,186582
1361,3,2,290220
539,2,1,129779
1509,2,1,290685
2012,3,3,392679
1167,1,1,209648
1068,3,2,237190
2001,3,1,368848
3257,3,2,594009
3197,3,1,579569
1236,2,2,234900
1988,2,2,355566
3941,3,2,691331
1414,2,2,265030
2410,4,3,479975
726,2,2,169832
2026,4,2,397982
566,2,2,135628
3186,3,3,561144
3836,4,1,695548
3937,3,1,686825
643,2,1,148679
2204,3,2,413558
3723,3,3,635922
1026,2,2,218670
1723,2,2,321820
3692,3,3,654196
3267,3,1,562946
3051,3,2,552532
1764,3,1,334664
2248,4,3,448026
2576,3,1,469649
1196,3,3,273912
3413,3,1,589935
1876,4,1,385486
1638,2,2,300822
615,2,2,147648
2418,3,3,444477
2204,4,1,424321
2045,4,1,393431
1341,2,2,264802
1798,4,1,350178
1469,2,1,286149
733,1,1,137799
3356,3,1,620692
2912,3,3,541165
1082,1,1,200838
1353,3,3,273741
939,1,1,174293
3175,3,1,550255
3481,4,3,631844
2555,3,2,474719
2951,3,3,537094
3367,3,1,615495
1134,2,2,216332
1507,2,2,288902
1790,4,1,384740
2435,3,2,447295
1489,2,2,281045
2724,3,1,490756
795,2,1,171350
3807,3,1,690130
3199,3,2,556843
1687,2,2,324597
1622,2,2,303314
2362,4,1,435630
1362,4,2,302620
3339,3,2,598277
3496,3,3,612158
1726,2,2,325602
1777,2,2,317338
2523,3,1,455643
2869,3,1,504277
2921,3,1,530855
1713,2,1,313802
2169,3,3,395817
992,2,2,202528
1385,3,2,287252
1597,2,2,306858
2861,3,3,523282
2951,3,2,536117
3531,3,1,647754
2360,3,1,439876
893,1,1,172416
2213,3,1,396015
1446,2,2,280914
2766,3,2,493770
3772,3,2,651474
2315,3,3,422620
2809,3,1,526963
3620,3,2,664578
3359,3,3,585815
3886,3,3,665328
3156,4,3,595981
3395,3,3,619971
2588,4,3,483522
1144,4,3,286805
3525,4,3,655722
2789,4,1,512540
1288,2,1,241563
3992,3,2,716486
2278,4,1,449372
1823,2,1,334367
1160,2,2,233914
1751,2,2,336136
1158,3,2,260319
1216,2,1,237079
2276,3,1,407513
1903,2,2,338185
1814,4,2,369382
2480,4,3,494946
3453,3,1,616576
3026,4,2,569412
2481,3,3,485985
1149,4,1,271685
1598,2,1,291311
3431,3,1,624294
1151,4,1,265330
3960,3,2,705725
2767,3,3,513018
1453,3,2,291692
1569,4,3,354583
2799,3,2,518378
3750,3,2,652096
1159,3,3,266753
1876,2,1,349894
588,2,2,144330
1778,4,3,356997
1421,2,1,262645
2870,3,2,519769
1179,4,3,268784
3042,3,1,525934
2751,3,1,517409
2763,3,2,515266
1753,2,2,315641
3437,3,1,618844
1964,2,2,353766
2485,3,1,473396
2901,3,2,519971
3833,4,2,674001
3128,3,2,554167
1407,3,3,298074
3216,3,2,557875
2977,3,3,550718
3027,3,3,549252
1528,3,3,317734
2105,4,2,428286
3054,3,3,543126
875,2,1,183215
1190,1,1,209458
2460,3,1,449591
2264,3,1,431045
3976,4,2,745470
3082,3,2,546978
1665,2,2,317249
3647,3,2,629267
1665,4,1,345470
3653,3,3,636895
535,2,2,129369
1512,4,1,329957
2373,3,3,456549
2039,3,2,400090
2223,3,3,419661
2854,3,1,523098
2527,3,3,475096
3880,4,3,703269
2345,3,2,442807
3610,3,3,618813
3579,3,1,609138
2321,4,2,474562
2278,4,3,437420
2863,3,2,545160
3372,3,2,601200
1871,2,2,329635
2683,3,1,476632
1399,4,3,311999
2831,3,1,510621
2148,3,2,398365
901,2,1,178125
2619,4,1,478290
2552,4,1,478900
2298,3,1,413096
720,2,2,168082
3930,3,1,654606
3276,4,1,606450
1298,3,2,265941
3857,3,1,665809
1496,2,1,278601
3942,3,1,663653
3578,3,2,636286
3127,4,3,614218
3131,4,3,571445
771,2,1,163439
2464,3,2,452237
2567,3,2,479283
1923,2,2,346804
2375,4,1,467970
2839,4,2,551810
1491,3,1,312675
672,2,2,156718
3666,3,2,655349
929,2,2,194376
1045,2,2,216735
3784,3,3,672885
710,2,1,163599
3943,3,2,664661
1726,3,3,358090
2328,3,3,434790
2110,3,2,410583
3350,3,1,578018
3980,3,2,677229
2603,4,2,508929
1068,3,2,249910
1207,3,1,256508
710,2,1,159283
3134,3,1,550641
2873,3,2,524211
958,2,2,195730
1691,3,2,320766
1880,3,1,364373
3374,3,2,583669
3229,4,1,575008
3674,4,1,632348
3883,4,1,695592
3550,3,3,651124
1086,2,2,215668
3090,3,3,561597
3098,3,2,565445
918,2,2,194740
3183,3,1,566189
1994,2,2,367780
1538,2,2,289860
3360,3,2,594940
3714,4,3,698228
2308,3,1,419444
775,2,2,170935
3291,3,3,606807
565,2,2,133578
2882,4,1,527517
2579,3,3,465687
2878,3,2,529924
609,1,1,117925
3951,4,3,716608
830,2,2,172826
3242,4,2,585916
3573,3,1,637408
1081,2,2,221516
3249,4,1,606626
2057,3,2,387563
3566,4,3,638841
2989,4,1,571447
3247,3,1,566330
3870,4,1,710607
1858,4,3,376202
3457,3,3,632757
1444,2,1,271683
3797,3,3,681751
1231,2,1,232773
1550,3,2,310130
2698,3,1,479335
1710,2,2,314286
3145,4,2,590509
2900,3,2,517877
3594,3,1,618448
3503,3,2,597622
2954,3,3,546811
3795,3,3,702849
3052,3,3,541633
1081,3,3,253754
3821,3,1,647089
1505,3,3,314793
1006,4,1,234925
759,2,1,165427
843,2,1,175828
3618,4,2,639160
3843,3,2,694263
1733,4,3,376999
3979,3,1,696024
952,2,2,205638
2206,3,3,402363
3932,3,2,704375
3087,4,3,553907
3468,3,2,597952
2675,3,2,481118
3961,3,3,693596
766,1,1,145223
2175,3,3,418791
2011,3,1,379691
2420,3,2,464854
1447,2,1,278074
2423,3,1,425705
2244,3,2,421932
1200,3,1,254685
1639,2,1,303007
2423,3,2,466570
1662,3,2,337442
2463,4,3,489850
1568,3,2,307261
1772,4,3,377416
2439,4,1,466131
1894,2,2,330736
1417,4,2,304113
3278,3,2,577624
601,1,1,116744
580,1,1,115931
2684,3,2,501636
1945,2,2,367168
2928,3,1,542001
1902,2,1,353000
3764,3,3,689743
872,2,1,173231
920,2,2,198686
1235,2,2,245781
1246,2,2,243972
3112,4,3,557005
3754,4,1,645759
2962,3,1,534742
3791,3,3,700270
1389,3,1,282833
1256,4,2,300114
562,2,2,137530
1548,4,2,343488
680,2,2,154794
2033,3,1,391440
1683,2,2,314949
641,2,1,150299
566,2,2,142128
1788,2,2,341352
2469,3,1,457725
3015,3,3,534723
1741,2,2,318543
949,1,1,166951
3209,3,3,580608
540,2,1,132640
2549,3,2,457787
1766,4,2,360468
1571,2,2,294041
3020,3,1,541912
509,2,1,124148
3541,4,1,639877
2904,3,2,519030
3840,3,1,696125
2210,3,3,422313
2586,3,1,449463
1650,2,2,308174
3621,3,2,624572
3072,3,3,564312
1909,4,3,394695
1268,3,2,264225
943,1,1,174241
3326,3,3,579792
2234,3,1,405183
3756,4,2,707298
2955,3,2,538940
2238,3,1,396524
1768,2,1,319791
3635,4,1,640641
680,2,1,155279
888,1,1,164314
2204,4,1,444605
2034,3,2,390366
3750,3,1,664048
1716,3,1,320720
1232,2,1,237279
3959,3,3,663651
3266,3,3,590769
3448,4,1,627441
1856,3,2,358394
2820,4,3,535860
3697,4,2,662260
1971,3,3,398103
2193,3,1,418281
1313,2,2,251364
2743,3,3,486755
923,2,2,196494
1843,2,2,348784
2956,3,2,549125
1583,3,2,319445
2665,3,1,485999
1224,3,2,259956
1571,2,2,312054
3314,3,2,596875
3973,3,1,691280
2400,3,3,451023
2904,3,1,528206
1565,4,3,360464
2343,3,1,421860
3072,3,1,537270
2299,3,1,405793
566,2,2,145704
1720,4,3,361340
2533,3,1,463185
812,2,1,170836
2904,3,3,540783
3994,4,3,724086
3942,3,1,687357
3585,4,1,648022
3370,3,3,607972
2612,3,1,457361
1046,1,1,193602
1442,2,2,270618
1771,3,1,326842
3782,4,2,694650
3317,3,1,598505
504,2,2,128492
2834,3,3,531866
2897,3,3,555508
2561,3,3,469035
2278,4,1,447118
1444,3,2,303584
3393,3,2,593294
668,2,2,152440
3383,3,3,600008
3581,3,1,640798
2741,3,3,499127
3013,3,2,555874
1632,2,2,315648
